_ID,EMPID,PROJECTNAME,MAJORSKILL,STATUS
661832ed3a055b1dbdd850ef,EMP1,AI-driven Customer Service Chatbot,Product Management,Approved
661832ed3a055b1dbdd850f0,EMP1,E-commerce Platform Redesign,Microservices,Rejected
661832ed3a055b1dbdd850f1,EMP2,Smart Home Automation System,React,Rejected
661832ed3a055b1dbdd850f2,EMP2,Virtual Reality Training Simulation,C#,Ongoing
661832ed3a055b1dbdd850f3,EMP3,Virtual Reality Training Simulation,Business Analysis,Rejected
661832ed3a055b1dbdd850f4,EMP3,Personalized News Aggregator,Statistical Analysis,Accepted
661832ed3a055b1dbdd850f5,EMP3,Personal Finance Tracker App,Accessibility,Accepted
661832ed3a055b1dbdd850f6,EMP3,Emergency Response Management App,Accessibility,Ongoing
661832ed3a055b1dbdd850f7,EMP4,Online Event Ticketing Platform,Technical Writing,Rejected
661832ed3a055b1dbdd850f8,EMP4,Online Medical Consultation App,AWS,Accepted
661832ed3a055b1dbdd850f9,EMP4,Smart City Waste Management System,Technical Writing,Ongoing
661832ed3a055b1dbdd850fa,EMP5,E-commerce Platform Redesign,Troubleshooting,Rejected
661832ed3a055b1dbdd850fb,EMP5,Virtual Reality Training Simulation,Containerization,Ongoing
661832ed3a055b1dbdd850fc,EMP5,Smart City Waste Management System,Cryptography,Rejected
661832ed3a055b1dbdd850fd,EMP5,Food Delivery Optimization Algorithm,Product Management,Rejected
661832ed3a055b1dbdd850fe,EMP6,Food Delivery Optimization Algorithm,Angular,Accepted
661832ed3a055b1dbdd850ff,EMP6,IoT-based Smart Agriculture Solution,Angular,Ongoing
661832ed3a055b1dbdd85100,EMP6,Remote Team Collaboration Platform,Angular,Rejected
661832ed3a055b1dbdd85101,EMP6,Smart Parking Management System,Data Analysis,Ongoing
661832ed3a055b1dbdd85102,EMP7,Climate Change Prediction Model,RESTful API,Ongoing
661832ed3a055b1dbdd85103,EMP7,IoT-based Smart Agriculture Solution,Node.js,Accepted
661832ed3a055b1dbdd85104,EMP8,Smart Parking Management System,Data Science,Ongoing
661832ed3a055b1dbdd85105,EMP8,AI-driven Customer Service Chatbot,.NET,Accepted
