EMPLOYEE_ID,PROJECT_NAME,TECHSTACK_USED,STATUS
EMP1,AI-driven Customer Service Chatbot,Product Management,Approved
EMP1,E-commerce Platform Redesign,Microservices,Rejected
EMP2,Smart Home Automation System,React,Rejected
EMP2,Virtual Reality Training Simulation,C#,Ongoing
EMP3,Virtual Reality Training Simulation,Business Analysis,Rejected
EMP3,Personalized News Aggregator,Statistical Analysis,Accepted
EMP3,Personal Finance Tracker App,Accessibility,Accepted
EMP3,Emergency Response Management App,Accessibility,Ongoing
EMP4,Online Event Ticketing Platform,Technical Writing,Rejected
EMP4,Online Medical Consultation App,AWS,Accepted
EMP4,Smart City Waste Management System,Technical Writing,Ongoing
EMP5,E-commerce Platform Redesign,Troubleshooting,Rejected
EMP5,Virtual Reality Training Simulation,Containerization,Ongoing
EMP5,Smart City Waste Management System,Cryptography,Rejected
EMP5,Food Delivery Optimization Algorithm,Product Management,Rejected
EMP6,Food Delivery Optimization Algorithm,Angular,Accepted
EMP6,IoT-based Smart Agriculture Solution,Angular,Ongoing
EMP6,Remote Team Collaboration Platform,Angular,Rejected
EMP6,Smart Parking Management System,Data Analysis,Ongoing
EMP7,Climate Change Prediction Model,RESTful API,Ongoing
EMP7,IoT-based Smart Agriculture Solution,Node.js,Accepted
EMP8,Smart Parking Management System,Data Science,Ongoing
EMP8,AI-driven Customer Service Chatbot,.NET,Accepted
EMP9,Online Medical Consultation App,Data Analysis,Rejected
EMP9,Emergency Response Management App,Data Analysis,Ongoing
EMP9,Augmented Reality Shopping Experience,Azure,Ongoing
EMP10,Wildlife Conservation Monitoring System,Swift,Rejected
EMP10,Real Estate Property Finder App,Documentation,Rejected
EMP10,Personal Finance Tracker App,Ruby,Rejected
EMP11,Language Translation Service,Technical Writing,Ongoing
EMP11,AI-driven Customer Service Chatbot,Technical Writing,Ongoing
EMP11,Food Delivery Optimization Algorithm,Data Visualization,Accepted
EMP12,E-commerce Platform Redesign,MongoDB,Accepted
EMP12,AI-driven Customer Service Chatbot,RESTful API,Accepted
EMP12,Virtual Reality Training Simulation,MongoDB,Ongoing
EMP12,Climate Change Prediction Model,RESTful API,Accepted
EMP13,Augmented Reality Shopping Experience,Microservices,Rejected
EMP13,AI-driven Customer Service Chatbot,Node.js,Accepted
EMP13,Remote Team Collaboration Platform,Microservices,Ongoing
EMP14,Cybersecurity Incident Response Tool,SQL,Rejected
EMP14,Online Medical Consultation App,Kubernetes,Accepted
EMP14,Emergency Response Management App,Python,Accepted
EMP14,Smart Home Automation System,SQL,Ongoing
EMP15,Online Learning Management System,Python,Ongoing
EMP15,Urban Traffic Management Solution,Python,Rejected
EMP15,Smart City Waste Management System,Google Cloud Platform,Ongoing
EMP16,Language Translation Service,Requirements Analysis,Rejected
EMP16,Urban Traffic Management Solution,CSS,Rejected
EMP16,Remote Team Collaboration Platform,CSS,Rejected
EMP17,Language Translation Service,RESTful API,Accepted
EMP17,Emergency Response Management App,RESTful API,Ongoing
